,Channel ID,Channel Name,Created,Description,Genre,Comment Count,Subscriber Count,Video Count,View Count,Popularity,Label
441,UCzco9CewPf0F-SP1p6LhWrw,Gigi Gorgeous,2008-07-07,"I'm a YouTuber & TV personality, lover of beauty, fashion and a good party! ✨STAY GORGEOUS✨Remember you are better than anyone who hates on you for ...",Beauty,17629,2787118,2787118,440877441,443682188,Popular
445,UCKTgL5yfBJXIgRbhe4Qs1Mg,bubzbeauty,2007-08-06,"Willing to try. Willing to learn. My VLOG channel: http://www.youtube.com/bubzvlogz or all Business & PR opportunities, please email: bubz@gushcloud.com ...",Beauty,97334,2949339,2949339,427811614,430858287,0
442,UC6jgzx2g3nlbaYkd8EMweKA,Jaclyn Hill,2010-09-07,"Hi I'm Jaclyn Hill from JaclynHill1 on YouTube. I am a professional makeup artist. I'm young, ambitious & full of life. I post makeup tutorials and makeup reviews ...",Beauty,975,5074600,5074600,415678007,420753582,0
417,UCBDR4TSiuXpWFNSA4cxPp6g,womenbeauty1,2011-09-30,Hairstyles by Sklemina Tatiana Please visit my new channel for more hairstyles! http://www.youtube.com/womenbeauty1Ru.,Beauty,353,1276584,1276584,378504250,379781187,0
444,UCz0Qnv6KczUe3NH1wnpmqhA,Nicole Guerriero,2006-11-27,Don't quit your daydream. 143. - Thank YOU for subscribing. B U S I N E S S: For Business and Branding/PR vanessa@jamesgrant.com ...,Beauty,3830,2903685,2903685,319297814,322205329,0
388,UCucot-Zp428OwkyRm2I7v2Q,James Charles,2015-12-01,"HI SISTERS! I'm James Charles, an 18 year old kid with a few blending brushes. Subscribe to my channel and join the sisterhood for all things makeup, ...",Beauty,0,4448898,4448898,301934827,306383725,0
446,UCXbQzhqSvgVZTUyi1T4AU3w,Lauren Curtis,2011-08-31,This channel is centred around all things beauty - from makeup and hair tutorials to product reviews and hauls - I've got everything covered! Thanks for stopping ...,Beauty,1744,3630507,3630507,298948939,302581190,0
443,UC48DOiEvCDu3sThBijwkQ1A,juicystar07,2008-07-08,Welcome to my channel! I'm Blair Fowler and have been uploading beauty and fashion videos since 2008. Show your support by subscribing! Business Inquires ...,Beauty,120583,1771549,1771549,289662141,291554273,0
393,UCXzaEAP-03qktmjNF2M4qLg,beautygloss,2007-09-05,Hoi en welkom op mijn beauty youtube channel! Ik ben Mascha Feoktistova en maak sinds 2007 video's op dit kanaal over alles wat met beauty te maken heeft.,Beauty,0,622697,622697,273262209,273884906,0
451,UCDHQbU57NZilrhbuZNbQcRA,PatrickStarrr,2013-02-27,"Hey YouTube! This is my Makeup, Beauty and Lifestyle channel! ""MAKEUP IS A ONE SIZE FITS ALL"". I love makeup, photography and YouTube! I want boys in ...",Beauty,23,3743181,3743181,228518769,232261973,0
462,UCWXYdNyGX01rnTB-tQci8JQ,Narins Beauty,2014-09-24,"( for markting _ للاعلانات هنا ) tala@diwangroup.com مرحبا بكم في قناة نارين الرسمية ، سنقدم لكم نصائح كل شئ يخص الموضه ,،تحدي...",Beauty,0,2263592,2263592,186766867,189030459,0
376,UCooQN8b9yPeNQgUFa9S5xew,Samantha Maria,2009-07-22,"Hey there! I'm a London based Fashion & Lifestyle blogger & Youtuber with a penchant for Travelling the world, eating and handbag collecting. I love creating ...",Beauty,11597,1840062,1840062,175533132,177384791,0
422,UCzJIliq68IHSn-Kwgjeg2AQ,Jackie Aina,2006-03-12,"Changing the standard of beauty, one video at a time :) New videos Tuesdays, Fridays/Saturdays! Business email: jackie@rare.global Philippians 4:13.",Beauty,1018,2328578,2328578,174887012,177216608,0
349,UC5lRKBgDMpPas8-VP3wsh0A,Kaushal Beauty,2010-07-05,I like to collect fabulous things and I like to wear lipstick. Want to send me a little letter? PO BOX: Kaushal Beauty C/O Red Hare Somerset House Strand London ...,Beauty,10,1969707,1969707,170635766,172605483,0
435,UC4GtJWgv_PLBiWFihNGbF0g,eleventhgorgeous,2009-01-31,"Hi! We're Tracy and Stefanie! You can find Morning Routines, Lifestyle, Fashion, Beauty, DIY Projects, Get Ready With Me videos, and more! Subscribe today so ...",Beauty,3991,1783039,1783039,170459549,172246579,0
405,UCtC8m_F7jX2fGOQ3_nomg4g,emilynoel83,2006-11-08,"I'm Emily! Welcome to my channel- Beauty Broadcast. I'm a former news anchor, a wife, and most recently... a momma! My goal with every video is to provide my ...",Beauty,9499,957543,957543,169141034,170108076,0
450,UCxj0QizmFhx7kVKSArHBCTA,Casey Holmes,2011-03-09,"HI! I'm Casey- Georgia girl- Makeup & Hair obsessed. If you like my videos, please subscribe so you don't miss out on any of them! xoxox Business inquiries can ...",Beauty,710,1640322,1640322,167351116,168992148,0
350,UClY87IoUANFZtswyC9GeecQ,Beauty recipes,2015-10-20,"Looking for skin, hair, or nail care tips? Find the latest beauty information here. Disclaimer : These contents or videos are only intended for informational purpose ...",Beauty,0,1147674,1147674,166995248,168142922,0
449,UCsopuR4Uw3TSA1VPY0MyAfQ,Claudia Sulewski,2009-11-02,,Beauty,6468,1912864,1912864,128988208,130907540,0
347,UCRSvEADlY-caz3sfDNwvR1A,Huda Beauty,2007-01-14,"Hey My Loves!! Thanks for visiting :) I'm Huda, the Founder and CEO of Huda Beauty! For me, makeup has always been so much more than a way to look more ...",Beauty,331,2321724,2321724,128483477,130805532,0
454,UCt5MVT7UbWWtcymqRy0RdcA,TheChicNatural,2008-04-09,"I'm just a girl who loves fashion, beauty & fun! My website: TheChicIsNatural.com For Business & PR opportunities please email: ChicNatural@gushcloud.com.",Beauty,349,1543449,1543449,121589728,123133526,0
364,UC7ta1qj7_Aj1SzT8CA0j-pA,BeautybyNena,2011-12-05,"For all PR and business opportunities please email: Nena@gushcloud.com Latina Social Media Influencer and Beauty Vlogger (Chicago, IL)",Beauty,59,1514209,1514209,112988439,114502707,0
372,UCSPUsC1K3KOoqh3XRKzOwQw,TheDollBeauty,2009-12-10,"Salut ! Je suis Maroua Alias TheDollBeauty :) Si vous êtes ici, c'est que vous voulez passer du BON TEMPS, rigoler ou apprendre des choses (oui ça aussi) !",Beauty,693,1470686,1470686,112162319,113633698,0
397,UCg0BZXZm905Jr8g3S05XPIw,Beauty Pageants,2016-01-21,"Beauty Pageants is your one-stop destination for all that's happening in and around the world of glamour and beauty. Get the latest news, views and interviews ...",Beauty,0,252336,252336,111755061,112007397,0
401,UCMrwXWpdmMGV5UPUXYzbPzw,Sahana Beauty Corner,2008-05-09,"SAHANA BEAUTY CORNER is all about collection of latest indian jewellery designs and garments like celebrity garments and Jewellery, diamond jewellery, ...",Beauty,0,303520,303520,96942957,97246477,0
433,UCkYwlqDr8sBNf0zGolOzF6w,Beauty Mantra,2012-03-25,"Beauty Mantra is all about beauty, makeup and fashion for Indian women. For business and media enquiries get in touch with us at contact@beauty-mantra.com ...",Beauty,3,493601,493601,96677161,97170765,0
378,UCI64jIDZ9WVgNv-CdR_edyw,Agnieszka Grzelak Beauty,2011-11-23,Cześć! Tu Agnieszka Grzelak Witaj na 3-cim największym kanale urodowym w Polsce! Wyróżnia mnie umiejętność śmiania się z samej siebie i dzielenie się ...,Beauty,1,676084,676084,94979861,95655946,0
369,UCPhfriDQV1gXKKDDotuXGzA,Beauty TV,2017-06-21,,Beauty,0,603972,603972,92233974,92837946,0
436,UCVMHrytkjpCocTVWEqjSoPw,Saba G Health & Beauty Tips,2016-09-04,"Aslam O Alikum Viewers how are you? Hope you all will be fine and Happy, Today Saba Beauty Tips going to introduced you Beauty tips. in this video I will ...",Beauty,0,986945,986945,88705794,89692739,0
353,UCVKFs0cesQUEGtn8gQmhbHw,VasseurBeauty,2013-09-06,"Hi, I'm Brittany - I make fun lifestyle videos on DIYs, home organization, cleaning, budgeting, healthy living and more! My goal is to inspire and motivate you to ...",Beauty,0,927780,927780,83766533,84694313,0
387,UC8f2CDyLibpGYSN3O2LfDwg,Beauty Within,2013-04-23,Beauty Within inspires young women to be better versions of themselves through beauty + wellness content that integrates into their daily lives. Stay in touch: ...,Beauty,16,1025525,1025525,77713826,78739367,0
420,UCLfpBAyfXl_2VTMigDlGonA,THE ACNE CHANNEL,2006-04-27,"I started this channel in 2009 because I suffered with acne and terrible skin all my life. I was fed up with buying products that were damaging to my skin, so I ...",Beauty,640,215783,215783,67607746,67824169,0
437,UCIVM3-CW8t3DWDAfm88P27Q,Jennie Jenkins,2010-08-11,Hey guys! This channel is going to show you what i love..from make up looks/tutorials to beauty to fashion and anything else i feel like sharing...Hope you enjoy!,Beauty,2944,642645,642645,65504974,66150563,0
400,UCxkbollceif6wsLpdIFWo0w,The Beauty Writer,2017-03-26,"Beauty Writer channel provide latest fashion news and lifestyle events in Pakistan and India. You will find here new videos about all type of dress design,beauty ...",Beauty,0,272384,272384,63096313,63368697,0
452,UCVqeaL3p3g5MwzkgXQml0Sg,WilmasBeauty,2011-06-12,En nyligen inflyttat Stockholmsbo som driver två av Sveriges största YouTube-kanaler (WilmasBeauty + Wilma&Emil). På youtube får man följa mitt liv där jag har ...,Beauty,181,313801,313801,62912240,63226222,0
459,UCp3_Zq16GNd-uBVHM8hYQlg,BeautywithEmilyFox,2011-11-19,"Emily Fox Sacrificing her lips since 2014 :P This channel is about my slight obsession with anything beauty related! Love share with you my new purchases, ...",Beauty,0,391286,391286,52629367,53020653,0
395,UCN781-j50kA-q2CsGqZuzlg,POPSUGAR Beauty,2010-02-12,"POPSUGAR Beauty is a guide to everything a beauty guru needs, delivering fresh makeup tutorials tutorials, beauty tips and product reviews! Learn insider ...",Beauty,260,255859,255859,51862234,52118353,0
374,UCQeSvxVXZXW66yGxAuOVeJg,Beauty Tricks,2017-04-13,Everything about Beauty.,Beauty,0,229058,229058,51167774,51396832,0
453,UCzUV_ldqQyp17-scwBANlsg,다영 DAYEONG,2011-03-31,김다영의 소소한 유튜브 채널 입니다. 뷰티에 관련된 컨텐츠 위주로 올리고 있지만 종종 일상적인 영상도 올리고 있답니다!,Beauty,0,554448,554448,50826075,51380523,0
380,UCvQgkrOiwcV9_C2Hj2IgeLw,BEAUTY NEWS,2016-01-13,Welcome to BEAUTY NEWS! The home of The Makeup Breakup - the original and the best makeup destroying series on YouTube (and probably everywhere ...,Beauty,0,362997,362997,46321303,46684300,0
403,UCIQFLq1B4Q0SdqN_hb3TSsQ,Fashion Beauty,2017-06-14,"Wellcome To My Channel Faishion Beauty.You will find here new videos about all type of dress design,Kids Dress,beauty tips,Gold jewellery design, mehendi ...",Beauty,0,224734,224734,46273655,46498389,0
358,UCskRkPSlaht6T_8sNGLdRfA,TheBrilliantBeauty,2009-09-25,"Hi! I'm Jodian, and I make beauty videos every week. Before my teenage years, I had a passion for hair, but not enough money to go to a salon every week.",Beauty,22,441689,441689,46031675,46473386,0
415,UCV-zFVygK6QZT0mHcGRaXfQ,Dilkash Beauty,2016-10-07,Dilkash Beauty provides reliable material on health and Beauty topics and gives latest tips about health and medicine. Dilkash Beauty is your source for original ...,Beauty,0,657047,657047,44588547,45245594,0
370,UCOMmsjb-VtlubcqaeyHpQVA,TheBeautyBreakdown,2014-02-20,Official youtube for The Beauty Breakdown and Morgan Alison Stewart BUSINESS INQUIRIES ONLY: morgansbeautybreakdown@gmail.com.,Beauty,0,512322,512322,42657051,43169373,0
365,UC0qI3HpiBua75glb4RV5mWA,Samantha Ravndahl,2013-02-21,BEAUTY / TRAVEL / LIFESTYLE A 20 something doing things and stuff on the internet and also in real life. Let's be friends.,Beauty,2,775554,775554,38203115,38978671,0
414,UCBX-jnm-TVS2SAAwTlD36bQ,ultabeauty,2007-08-21,"Watch All Things Beauty, All in One Place™ on the official Ulta Beauty YouTube channel. Satisfy your beauty cravings one video at a time. Discover new ...",Beauty,9,42900,42900,38420170,38463079,0
423,UCT9B6B1ESokiAH9FubKxqmQ,Aisha Health With Beauty,2016-11-22,"Welcome Friends, Every male and female like beauty and try to look beautiful and different then others, so Friends Beauty is not much expensive every one can ...",Beauty,0,0,0,35124808,35124808,0
355,UCt414Im4PH8seguhsg5_sJg,BEAUTY INSIDER,2017-10-19,BEAUTY INSIDER believes everyone should shine from hair to makeup and everything in between. Life is an adventure from the team at INSIDER!,Beauty,0,98165,98165,34211374,34309539,0
456,UCF8C0n8MNYyvjfry_CkbTjA,So Young's Beauty Room ♥,2013-03-20,Business Inquiry : soyoung0201@gmail.com Instagram 인스타그램 : soyoung0201 FB page 페이스북 페이지: https://www.facebook.com/soyoungsbeautyroom.,Beauty,4,375560,375560,33230782,33606346,0
421,UC9HZ8PYXkhgEUR3bqv6xoMQ,Indian Beauty and PunkzGamer,2016-01-22,,Beauty,0,61669,61669,33077580,33139249,0
461,UCvBj7a5l2cnHq5oXKqgG8ZA,Bri Hall,2013-05-24,"The same artsy girl from high school, just painting bigger pictures. Being fearlessly beautiful and expressing myself with beauty, fashion, and lifestyle. I don't ...",Beauty,0,639539,639539,31179772,31819311,0
418,UC9SQfYJSmD2Sly90kvEp-0w,My Beauty Production,2016-07-28,,Beauty,0,63041,63041,27198876,27261917,0
458,UC7ukCljv3FrDWYMPxu5Jsmw,RositaApplebum,2011-04-25,"""Beneath the makeup and behind the smile, I am just a girl who wishes for the world."" For Business Inquiries Please Feel Free to Contact Me Via Email: ...",Beauty,82,290338,290338,25838951,26129371,0
406,UC9a7MN5CkhzSQqShcuPGQRg,HW Beauty,2017-01-30,"hello, Viewer welcome to HW Beauty. Hare, we Upload all about health and beauty related videos to make your regular life easy and simple. we upload 3 or 4 ...",Beauty,0,62199,62199,25694557,25756756,0
363,UCOtoxvHLKrIlWbt4MRBWfbQ,RawBeautyKristi,2013-02-28,"RawBeautyKristi - A place where you can feel confident in getting HONEST Product Reviews, Makeup tutorials, Health, Life & Weight loss advice and MORE.",Beauty,5,377636,377636,24963771,25341412,0
457,UCC8xufRD5wAPuZny8EY4d_Q,Beauty Broadcast Express,2013-07-16,"If you want honest beauty reviews that are quick and to-the-point, you've come to the right place! Beauty Broadcast Express is an addition to the original Beauty ...",Beauty,11,218707,218707,25078908,25297626,0
386,UCqsG5w2r7Lo5tsvm8sfU1Jw,Health and Beauty,2016-11-14,"Health & Beauty is a YouTube Channel Provide Full Information about Natural Home Remedies, Health and Beauty Tips, Natural Cure For Diabetes, Weight loss ...",Beauty,0,164527,164527,24682675,24847202,0
410,UCjXKhMQTMFBOlzY4sxaWkWA,Official Nepali Beauty,2013-10-26,Welcome to the official youtube page of Nepali Beauty where we post about videos regarding the current affairs and viral trends. Follow us on Social Media ...,Beauty,0,42306,42306,24082896,24125202,0
399,UC7XCHQtpWcYyxG_tJ2z1E4A,Telugu beauty,2016-12-22,"this channel about all telugu news , cinema news.",Beauty,0,43779,43779,22367432,22411211,0
460,UCKrrATalRpJ-H5ltP788DkA,Linda Hallberg,2013-10-17,Hi everyone and welcome to my beauty channel! My name is Linda Hallberg and I upload videos every thursday and sunday here on my channel. I live to create ...,Beauty,4,343011,343011,17324698,17667713,0
424,UCZqlcke50KdyWnSlAohYggw,07vredinka | Beauty Blogger,2011-09-10,BEAUTY & LIFESTYLE Блоггер МОСКВА! Бьюти Блогер! Мама Блогер! На моем канале вы найдете ролики на тему: - уход за...,Beauty,105,104052,104052,17516666,17620823,0
366,UCsLRTmhjh60vilTencSqvvg,DIY Beauty Channel,2016-10-29,,Beauty,0,109925,109925,17396148,17506073,0
404,UC-fujoJkUhVNSSE-Wkmk9DQ,真善美truth love beauty,2011-11-26,真善美頻道利用FREE網絡视听素材，分享自製視頻，轉載大眾傳媒和公益宣傳片。如果有免費資源涉及您的版權請留言，會及時移除。This channel is...,Beauty,0,22324,22324,14646274,14668598,0
429,UC-re4-3ZMIpu94xZRYDDTQQ,Гильдия Красоты,2014-11-22,"ЧЕСТНЫЕ BEAUTY ОБЗОРЫ — ЗДЕСЬ ВОЗМОЖНО ВСЕ, ЧТО КАСАЕТСЯ КРАСОТЫ! Наш канал Beauty Guild переводится как ""Гильдия...",Beauty,0,57558,57558,13496960,13554518,0
394,UCkdgDPiHPRP-wieF9nQlZ5A,Emci Beauty,2013-12-22,"Emci vagyok! Üdvözöllek a csatornámon:) Iratkozz fel, hogy mindig értesülj az új videóimról melyek divatról és szépségápolásról szólnak. Nézd meg az összes ...",Beauty,0,92060,92060,13312227,13404287,0
412,UCVbiPsqRKlY0i1ta3CKi00A,Hasina Beauty Tips,2017-02-08,,Beauty,0,121780,121780,13196459,13318239,0
432,UCB_lNo8PKoauzsIWbzTSmSw,smart beauty tips,2016-10-11,"Aslam O Alikum you can also see wazaif, islamic beauty tips, treatment. u can also contact me on my skype id islamic.dunya.",Beauty,0,0,0,12486771,12486771,0
455,UCmneaCkeBwXk_L5IkLBjmdA,Grace F Victory,2011-03-20,"Born & raised in Buckinghamshire, I left home two years ago to pursue a career in blogging & documentary making for BBC3. I currently live in South West ...",Beauty,2293,227118,227118,12112447,12341858,0
431,UCw9n9b2MqLYZfZbWsK4g_zw,"Travel, Music & Beauty Videos",2011-10-14,"I make travel Videos mostly of Japan as I have lived there from time to time. I LOVE to cover all aspects of Japanese Culture. Such as, Popular Tourist ...",Beauty,211,64742,64742,12218009,12282962,0
384,UCeeIqJdljsFxtEoQtwANFQw,Beauty Spectrum,2014-09-10,"Beauty | Fashion | Vlogging | General Life | Join our Spectrumette family by clicking subscribe to see uploads on Tuesdays, Thursdays, Saturdays and Sundays ...",Beauty,0,82439,82439,11636076,11718515,0
426,UCj3JG5EmD78QTdk9dTPz3dw,Beauty Обзоры для девушек,2016-01-19,"Привет,спасибо,что зашли на наш канал. Мы отвечаем на вопросы наших подписчиц,делимся своим опытом и говори...",Beauty,0,55047,55047,11411254,11466301,0
362,UCMURcNXDqZGQyk_UhqxDmbw,GiGi Beauty,2015-10-30,,Beauty,0,188633,188633,10301508,10490141,0
379,UCFjw-ACB8IvXvdjEyRDBOzQ,Kaur Beauty,2016-01-07,"Hi! I'm a professional makeup artist based in Northern California! Here on my channel, you will find makeup, lifestyle, and fashion; be sure to subscribe so you ...",Beauty,0,169914,169914,10080074,10249988,0
428,UC392qAp0PM-hzVR11QX7xEA,C Key,2010-10-22,"Hey EVERYBODY!!!! If you are looking for tips and tricks on how to enhance your beauty whether it be drugstore or high end products, look no further!!! On my ...",Beauty,58,107361,107361,9450680,9558099,0
413,UC096bcJfUForNT6Ko3QsEEQ,Beauty Tips In Urdu,2014-10-08,"Looking for skin, makeup, hair or nailcare tips? Watch how to be beautiful and healthy. Beauty tips for quick Fairness skin. Get the latest beauty tips, hair ideas ...",Beauty,0,90140,90140,8888221,8978361,0
411,UC2bTBlLlMGKqt8R1vBHXK5Q,Superdrug,2009-11-20,"Welcome to Superdrug Loves on YouTube – the beauty, health and grooming destination for the inspiration and advice you're looking for. Every week we'll be ...",Beauty,38,18108,18108,8255383,8273529,0
361,UCm6-A3746D0h1382TFjMg4w,MECCA BeautyJunkie,2016-04-07,"Welcome to the Mecca Beauty Junkie channel, your number one online beauty destination for all things 'how-to' and 'must-have' in cosmetics, skin care, hair ...",Beauty,0,27206,27206,7274649,7301855,0
408,UCfjBWQJdAgmcJEvFIC0zV4Q,Mrs Ginger Beauty,2012-10-20,"I am a 45 Year old English redhead living in beautiful Scotland. I'm married to a wonderful man, & am mum to a mischievous Labradoodle. I've been on You ...",Beauty,2,26948,26948,5721652,5748602,0
402,UChlIiIEWpFg6OzB6rhDOp2w,LS Beauty,2013-03-05,"Sharing my passion for beauty is this easy ! Skincare, Makeup and Reviews are just part of the deal, so Welcome to all of you Beauty Lovers .... this is our"" Girl ...",Beauty,11,36219,36219,5127196,5163426,0
352,UCf8IQSVoWAwQbyxkT6LEJ1g,CC Clarke Beauty,2015-08-19,"Wellcome to my world of Music, Makeup and Fashion.",Beauty,0,139759,139759,4572560,4712319,0
419,UCjL_Lmbufcrmi2iZ47B8kRg,TheMindCatcher Natural Beauty,2007-01-02,Hello and Welcome to my channel. This is a one-stop-shop for ALL Things Beauty and my content is ALWAYS family friendly! On this channel you'll see Natural ...,Beauty,206,47425,47425,4557419,4605050,0
354,UCjBq1Hbj2Q3fJIv49HdPGIw,RealBeautiful Beauty,2013-01-21,,Beauty,0,0,0,4497192,4497192,0
398,UCGd92K9MSUBNiqEq1a7zX-w,KLMN Fashion & Beauty,2017-07-18,"Fashion And Beauty This Channel Videos For only Fashion Relates. Videos Post For Women and Men Clothing , Jewels, Beauty..Etc. Women Videos Are ...",Beauty,0,0,0,4163606,4163606,0
367,UCARdH4m1b-P8ThyoBX3ttvg,KD Beauty,2016-11-07,Welcome to my beauty channel  ✨ Snapchat  : q_tayyyy Instagram: kdbeauty21 For PR inquires/ brand collaboration email me: kdbeauty21@gmail.com.,Beauty,0,185552,185552,3897487,4083039,0
425,UCL7f2gRk1q5m1yUyEI3VtVw,NailsRUs Beauty Supply,2013-10-30,"Welcome to Nails""R""US - Professional Beauty Wholesale Supplier & Distributor The channel for ""How To"" for beauty and nails lovers on YouTube. Here you will ...",Beauty,0,20826,20826,3980364,4001190,0
383,UCEKzXDip-zfAI-qwwCNcXqA,Inner Beauty Bybel,2012-12-10,"I am too positive to be doubtful, too optimistic to be fearful and too determined to be defeated. x Main Channel : https://www.youtube.com/user/CarliBel55.",Beauty,321,404959,404959,3123716,3528996,0
377,UCnNvkq5JhTqeNUbuNvjsLGQ,Beauty by Katty,2014-07-17,"Často vídám ženy bloumat v regálech s kosmetikou. Jsou zadumané, zamračené, hledající. Periferně je pozoruji a přemýšlím, co asi hledají. Dokonalý makeup ...",Beauty,0,0,0,3375402,3375402,0
392,UCjSz69eLacR7fw8yJYDn7sQ,Beauty secrets reality,2016-04-18,"HELLO MY BEAUTIFUL FRIENDS, MY CHANNEL IS ALL ABOUT BEAUTY SECRETS, BEUTY TIPS, ENTERTAINMENT, SHOPPING, FOOD, HOME REMEDIES ...",Beauty,0,58020,58020,2915682,2973702,0
409,UCVVHyNSwMSU_1IQFKvo9n1g,Fashion & Beauty,2016-03-14,"The latest fashion and beauty news, tips and trends.Fashion and beauty - latest news and tips. Discover the latest fashion trends and advice on what to wear for ...",Beauty,0,9832,9832,2724057,2733889,0
438,UCiBA6Ba8yzpcVPGHAbiAq6A,Beauty Launchpad,2009-01-20,,Beauty,5,7588,7588,2700954,2708547,0
360,UCFmsqgrZ1j5Eh69NZyJLLAw,BTK Beauty,2016-10-13,"3 beautiful black girls just trying to make it in life. Watch us juggle school and social life, through a variety of videos. Instagram @btkbeauty @kinadyyyy ...",Beauty,0,57675,57675,2592064,2649739,0
430,UCZKJYJ1v1akq9ZfquONG6GA,Microscope Beauty,2010-01-03,"Oh, Hello! I'm Kayla, a twenty-something from Michigan. Subscribe for a variety of videos like planning, organization, beauty, graphic design, and vlogs.",Beauty,10,24254,24254,2584422,2608686,0
407,UCkChY0eiuiKXb57o80eaNUg,Bargain Beauty,2016-03-28,DEAL FINDER ECONOMICAL SOLUTIONS DECORATING ON A BUDGET COUPONING DUMPSTER DIVING CHIARI SURVIOR DEPRESSION ANXIETY THIS ...,Beauty,0,20108,20108,2488439,2508547,0
381,UCRgA2LSQsfd7Qh_HKNZWHNQ,thebeautyofgemina,2006-11-05,,Beauty,11,4819,4819,2412501,2417331,0
427,UClRvKg4a8RoyM-yFIDRPkbQ,Empire Beauty School,2008-06-17,"Empire Beauty School offers a variety of beauty programs and cosmetology courses including cosmetology, esthetics, make-up artistry, and cosmetology ...",Beauty,4,12929,12929,2299475,2312408,0
373,UCS1bu7fchbbZ9-FvjnIQhDg,Layefa Beauty,2014-02-27,"Hey lovelies, welcome to my channel. All things Makeup and beauty related is what you can expect on here. A new video will be up each week.",Beauty,0,41831,41831,1844953,1886784,0
434,UC7zemE5pZ5lhDeW4Fs2u74g,NO BS Beauty,2016-11-19,An honest opinion and reviews of beauty products. No paid collaborations or free products here. I have paid for all of this with my own money and just want to ...,Beauty,0,4688,4688,1405579,1410267,0
416,UC2CZewmyDiwMDUqzhQaCJyQ,Heath and Beauty,2013-10-23,Everything health & beauty related can be found at this channel. Learn how to take care of your health and beauty here.,Beauty,0,1506,1506,969988,971494,0
396,UC0DNXdJFRgnAnTZDKnl8lFQ,#Beauty,2017-05-17,"Explore Beauty and Personal Care products. Watch makeup, skin care, hair care, nail polish, beauty appliances and more. from best-selling brands like Olay, ...",Beauty,0,2271,2271,794203,796474,0
391,UCbOScJRhmGFIwX0Yskriqug,Emerald Beauty,2016-09-06,Hey! My names Kadeeja Khan & welcome to my channel! Follow: FB : emeraldxbeauty : emeraldxbeauty IG : emeraldxbeauty : khanxofficial For business ...,Beauty,0,0,0,788440,788440,0
346,UCwRenK7z1CzvxMcQgzYFrtg,Beauty Tips - Topic,2014-10-29,,Beauty,0,742094,742094,0,742094,0
371,UCbLqNXiT_nmKhTWNFvuZDzQ,Mirabella Beauty,2010-03-19,Welcome to Mirabella Beauty! We believe in Make Up with a personality. Mirabella is a mineral based brand with high fashion and high pigmented color.,Beauty,205,2420,2420,675580,678205,0
