,Channel ID,Channel Name,Created,Description,Genre,Comment Count,Subscriber Count,Video Count,View Count,Upload Frequency
28,UCwuRC9oEYPRV_drofrS-4kg,Alex Mandel Vlog,2012-03-26,Hey I'm Alex and I like to think of myself as a majestic seahorse prancing through the depths of the Pacific. Come prance with me!,Vlog,2,481327,481327,70633447,6
29,UCsl2vIAHvfb8r7ocg325GfQ,SuperwomanVlogs,2011-12-27,"Spent thousands of dollars on tuition, graduated and got a degree. I make YouTube videos now. I am also a happy unicorn that believes in one love. Join me on ...",Vlog,201,2475750,2475750,338022793,1
30,UCR0VLWitB2xM4q7tjkoJUPw,Vlog Creations,2016-11-29,"My values are unchanging in comedy, courage, and creativity. I'm adding consideration to my list of values. This channel allows me to express myself in ways ...",Vlog,0,221946,221946,18757942,3
31,UC-fouMSM9Zot3x8Hw2_Y5yw,Adam Saleh Vlogs,2012-07-28,SUBSCRIBE for Daily Videos! :) Booking Contact - info@AdamSalehworldwide.com.,Vlog,122,3976929,3976929,1094812976,1
32,UCBOd5KMWdkVPc70RWw5GmbA,MikeyBustosVLOGS,2015-12-20,"Hi guys, my name is Mikey Bustos, and I'm just a boy living in an epic world with a dream to change it! My bio is pretty random: In short, I am a professional ...",Vlog,0,50256,50256,2238462,1
33,UCTya3dclGw5pLOus1C5Gfyg,HoldOver Vlog,2016-03-27,"As my main channel evolved past the airgun community, I started to feel pressure to steer away from hard-core airgun subjects. I also felt that every video had to ...",Vlog,0,14007,14007,334578,25
34,UC_lWt_nOkuZnLCYc75woj0Q,Marcum's Vlog,2013-06-10,"Vlogger, 16 ani. Cică fac chestii faine. Abonează-te! Fă bani cu ajutorul youtube,apasă aici http://www.air.io/?page_id=1432&aff=702 ...",Vlog,1,30752,30752,1912652,19
35,UCGaVdbSav8xWuFWTadK6loA,vlogbrothers,2007-01-02,Raising nerdy to the power of awesome.,Vlog,5415,3123007,3123007,740034350,4
36,UCPRlGA2w7C_DVw-1ynolJYw,Shaaanxo Vlogs,2011-07-19,"Its Shannon here, from Shaaanxo! This is my vlog channel :)",Vlog,156,541793,541793,65306402,2
37,UCJu32YspnuE7bck6Li-vyfQ,UIC Vlogs,2017-04-21,29 Year Old guy from Mumbai known as ' Ur IndianConsumer ' [UIC] shares his life on YouTube.,Vlog,0,143108,143108,14935633,5
38,UCJ3xy7rzDKtySZLrUVCQfjQ,Leesha Vlogs,2008-09-28,Hey! This is Leesha (xsparkage for the more known name) This will be my non makeup channel :),Vlog,829,74896,74896,10641226,14
39,UCcCLyk1Te4ioNycEoKdunbg,Karina Bear Vlogs,2015-07-02,,Vlog,0,901224,901224,8944434,11
40,UCDDgfKQE3eaD1H08VHRAfig,PontiacMadeDDG VLOGS,2014-07-26,THE MOST LIT DAILY VLOG CHANNEL ON YOUTUBE!!!! SUBSCRIBE AND JOIN DDGSquad NOW! #WeLit !!,Vlog,0,1325683,1325683,179921290,4
41,UCHTa1-Yrmi8w2oy4Co1Jd2A,Connor Murphy Vlogs,2016-10-09,Vlogs and Extras.,Vlog,0,928286,928286,127071565,9
42,UCzE4rHZD7TdxGqfMzVT_p2w,ThatcherJoeVlogs,2013-01-13,"Welcome to my second channel! I'd love to share with you all what I get up to on my days off, so what better way to do that then start vlogging! Enjoy :D Follow ...",Vlog,87,3660026,3660026,595777424,3
43,UC_ZIPf4ytrWMZMFjIk1BIBg,edbassmaster vlog,2005-10-31,Bass Fishing.,Vlog,1112,96386,96386,8584675,22
44,UC-WN47gj27EoWYITQ4TwsBA,MarzBarVlogs,2012-05-17,HELLO! My Name is Alex Brooks or MarzBar and this is my Daily Vlogging Channel. Subscribe for new videos every day (6pm UK Time) where I share my daily ...,Vlog,0,466373,466373,88759838,1
45,UCSkmmnfLTBH7eOMFvevRvbQ,JONAS VLOG,2012-07-17,"Ich bins, uFoneTV! Hier präsentiere ich euch kleine Informationen, Vlogs oder anderen Kram... (Was eigentlich niemanden intressiert) =)",Vlog,8,100129,100129,0,-2
46,UCcNtltXOjp_NiFCXHeVOYcQ,Dina Tokio Vlogs,2017-11-12,"A channel sharing family life, fashion, beauty, being a mum and perhaps a little travelling.. Business and Collaborations: management@dinatorkia.com PO BOX ...",Vlog,0,100164,100164,3821773,7
47,UCp3N13aCjNxD17wDTZmxwnA,Kaya Vlogs,2016-09-26,"Daily life, Travel, MukBang and.. some simple ASMR videos. :) 일상, 여행, 먹방, 자투리 ASMR 등을 자유롭게 올리고 있어요 ^^ 메인채널 : KayaASMR Check out ...",Vlog,0,6434,6434,302612,12
48,UCXsCPmJi7RZFjpS-RmYgn_Q,Anil Geela vlogs,2017-05-18,"Vloger,teacher,anchor.... Hello friends i want to become good friend of u..... I will introduce our culture,our festivals,our tourism places, so Subscribe my ...",Vlog,0,33679,33679,1953763,5
49,UCtUnzu9r7okKRzY6PX_jXdQ,Chandler Alexis Vlogs,2013-06-23,this is my vlog channel. my life is only interesting when i film it so dont be fooled! Well watch one of my videos and you might like it & if you do make sure to ...,Vlog,0,163138,163138,9530987,4
50,UCqtc118chzxCUJExjeWbeEA,Zennie62 Daily Vlog,2006-04-21,"Zennie62 Daily Vlog - Zennie Abraham welcomes you to Zennie62 Daily Vlog. Zennie62 Daily Vlog is the long-running (established 2006, YouTube Partner ...",Vlog,124,40364,40364,72856403,1
51,UCu5jfQcpRLm9xhmlSd5S8xw,Armin van Buuren,2006-01-10,"Welcome to my official YouTube channel. Here you can find all my tracks, music videos and every week a new VLOG and A State Of Trance episode!",Vlog,4342,2141313,2141313,446267759,2
52,UCpKV3InanmihC8do0XRoBkQ,HalloweenHellmouth,2009-10-29,"A daily HALLOWEEN vlog of a ""Home Haunter"" finding Halloween in his everyday life, attempting to get a professional Haunted Attraction, and his everyday ...",Vlog,227,15150,15150,7592952,1
53,UCJZ7f6NQzGKZnFXzFW9y9UQ,SHAYTARDS,2008-10-01,If life's worth living then it's worth recording!!!,Vlog,512511,5038445,5038445,2735745461,11
54,UCK2ACorzpH-igxuHZ2ObCEA,itsJudysLife,2010-03-10,Benji and I are daily vloggers from Seattle. We've been vlogging every day since October of 2011 before we started our family! We have 3 beautiful daughters ...,Vlog,2786,1600739,1600739,852568073,1
55,UCq0pCdxfR4RRgMnne8JmIaw,PakShowbiz Vlog,2017-04-19,"PakShowbiz Vlog is All About Celebrities, Their Biography, Their Latest News, Bollywood reviews, Lollywood Reviews, Pakistan actress, hottest entertainment ...",Vlog,0,71043,71043,27862532,1
56,UCXraD85Dh_zvmkR4fwuOUpA,Sydney Trains Vlogs,2013-03-07,"Hello Everyone, My name is Phil and welcome to the world of Sydney Trains Vlogs. Im a train spotter based in Sydney, NSW, Australia. On this channel you will ...",Vlog,0,8542,8542,7398574,5
57,UC8A8m07o48cddU-ojO6BQKQ,Sarkazz Vlogs,2009-09-01,"Vlogger from Brooklyn, NY. I'm Sarkazz or you can call me Mrssarkazz. Vlogs uploaded every 2 to 3 days. I have a dog, his name is Sandy. Vlogs are just blogs ...",Vlog,987,4644,4644,709441,2
58,UC0DiZThoaByGjeHutpqoarA,Jamie Ped's Vlogs,2011-03-15,Its my Daily Video Diary Vlog thing :),Vlog,18,3783,3783,879994,5
59,UCfRU6TVIzRaa_4gA8-_H7PA,TobyTurner,2006-05-14,"Audience! What are you doing on the about page of my secondary TobyTurner Lazy Vlog channel? Nobody reads those. Well, if you are... my main channel is ...",Vlog,21521,1900008,1900008,373416729,4
60,UCrkahiSmFd6w0fmdZ95K_wA,Trucker Josh VLOGS,2012-04-23,"Trucker, Youtube, and Creepy Neighbour. Traveling all Canada and USA creating DAILY VLOGS! Twitter: @truckerjosh456 Add me on Facebook: http://www.",Vlog,85,75413,75413,24623162,1
61,UCnaZE47rzGMTD6Xjzj3ty8A,Family Of Hope Vlogs,2013-09-19,"We are the MAINVILLES!! Ronnie (dad), Cayden, R.I.P. OUR SON Elijah (aka Drax Shadow) and MOM (aka Melody). I vlog our Lives daily as a Family Vloggers.",Vlog,0,47561,47561,15352052,1
62,UCVrvnobbNGGMsS5n2mJwfOg,FunForLouis,2011-11-07,"My name is Louis Cole. I make a Daily Vlog of my life! I enjoy travelling the world with friends, having fun and inspiring others!",Vlog,211,2004007,2004007,288842648,2
63,UCGXk-8MDe3uwD-fLCuZuyFA,Steves vlogs,2012-04-23,Join our family Vlogs. We are living in the UK. There's me Steve (35) my partner Rachael (32) my daughters Jasmine (15) Sophie (11) Lacey (8) Chloe (2) and ...,Vlog,3,5336,5336,2709888,1
64,UC05YA--GNusacp_p_w9aL0g,Transport For NSW Vlogs,2014-06-29,"Hi, I'm Cameron What you will find on this channel is Trains, Buses, Ferries and Light Rail around New South Wales, Australia. I also have videos from Victoria ...",Vlog,0,2117,2117,1192365,4
65,UCLixIM8ZIGs6DJFKzQxPYqQ,Snow Dogs Vlogs,2011-01-30,"What is it like having Siberian Huskies and living in Northern Michigan? It's camping, going out in the Jeep, trail riding, going to the lakes, and exploring the ...",Vlog,138,156856,156856,41002631,1
66,UCoKGanMmrKj8RAqAwS5vRug,Landon Vlogs,2014-08-19,"This is my Daily Vlogging Channel !! Business Inquiries: landondtalks@gmail.com P.O BOX # 14015 2408 Lakeshore Blvd W. Etobicoke, On M8V4A2.",Vlog,0,49849,49849,3626623,1
67,UCpAoDaXW7Q9-D-KuZl5OmLw,Stowed Stuff Daily Vlogs,2010-02-18,"Welcome to Stowed Stuff Daily Vlogs! We are Annie, Chris, Emily (12), Aidan (9), Owen (7), Andrew (4). We upload a new vlog everyday. We love dance ...",Vlog,1,24359,24359,18004448,2
68,UC6Cty1HbVfuG8u-0z7nKBXg,Samika Vlogs,2009-12-11,"A family of FOUR spreading love daily through positive living. Oh, and sometimes we like to dance and celebrate even the littlest things in life; like getting out of ...",Vlog,0,192009,192009,52367293,2
69,UCPkbc6JNM7O299DY3ZyXJLw,MocnyVlog,2012-04-13,"MocnyVlog by Szafa. Vlogi z wyjazdów, życia oraz o tematyce Fast Food. Aktualnie głównie ""daily vlogi"".",Vlog,36,243662,243662,129892118,1
70,UC5J78rr3mI8VAQ1jGrIlohw,Matt and Em Vlog,2014-03-07,"Welcome to Matt and Em Vlog! We have a family vlog where we post videos daily of our life adventures with our family! We have three boys, Carter (8) and Drake ...",Vlog,0,62184,62184,15690998,2
71,UCnEn0EUV13IR-_TK7fiIp3g,PointlessBlogVlogs,2010-03-12,,Vlog,230,4095776,4095776,944827685,2
72,UCMpOz2KEfkSdd5JeIJh_fxw,Shaaanxo,2009-01-18,"New video every Monday, Wednesday and Friday! :) Help me out by subscribing and enjoy all of my beauty and fashion related videos! If you want to see some ...",Vlog,2547,3154498,3154498,378455715,2
73,UCxW86A5XGWdQ-968E0FJMMA,MARINA IVANOVA VLOG,2012-08-15,,Vlog,131,66728,66728,33377375,2
74,UCAkP51BEzkKimJh7KDflx_g,Mr Ben Brown,2006-10-15,"Film maker & photographer from London, uploading daily vlogs which are sometimes late due to projects, travel & life! I do my best to make my vlogs the best ...",Vlog,45,717371,717371,127477518,9
75,UCFYs3KYHDPoZfwGv0A4sYGQ,Life of Tom,2011-09-25,"Welcome to my Channel! Im Tom, also known as Syndicate! I upload a new vlog every day at 6pm GMT (UK Time). This channel is a look into my life & all the ...",Vlog,9809,2573789,2573789,461264545,1
76,UCVyM1Zknz3u2hGLAN2NVtZg,CJ SO COOL,2014-12-27,"The coolest YouTuber you know! Subscribe for the best Pranks, Challenges, Vlogs, Giveaways, and Reactions 🤘  🤘  🤘   To email me for business only ...",Vlog,0,5073517,5073517,976497077,3
77,UC3cQWF3e0qcIDEBzCzqp_SQ,TRAVEL VLOG IV,2013-12-01,Elke dag een video over reizen & lifestyle.,Vlog,0,86535,86535,14971045,1
78,UCfVv-jMd1OX3_RoM7BxzJdQ,Kayla Lashae Vlogs,2010-09-05,This is the life of Kayla Lashae.,Vlog,49,92884,92884,18808270,3
79,UCgneYJoJkfJLUDDnDif-u_Q,DayByDay Vlogs,2014-11-19,We are a big Canadian family vlogging our lives day by day! Come join us in our adventures and our journey to owning our first horse! Watch us as we grow and ...,Vlog,0,34603,34603,11067116,1
80,UCoN-7O1EudN8GaZ_7gA-nWw,TLife Daily Vlogs,2014-01-19,"Welcome To TLife Daily Vlogs* Our family consists of Tyler (Dad), Jessica (Mom), Journey (Daughter), Talon (Son), & Jaspen (Baby Daughter). We have three ...",Vlog,0,21962,21962,3302659,2
81,UCe4Ff5bEjSFQAOCjgFWA7uA,Gilroy Vlogs,2014-01-06,"Together with my family, we make our lives public to you so we can make you smile, provide you entertainment, and show you how to love. Follow us on our ...",Vlog,0,607197,607197,89615897,5
82,UCCHETeyWJzimrvgrKbcXDhw,Familia Carameluchi,2013-09-19,VLOGS DIARIOS | RETOS EN FAMILIA | VIDEOS DIVERTIDOS EN FAMILIA | FAMILIAS DIVERTIDAS | JUEGOS EN FAMILIA | VLOGS DIARIOS FAMILIARES ...,Vlog,0,930955,930955,222483806,2
83,UCWWA4cTfnTiBPd273M-HtEw,Sempre Bom Saber,2012-12-17,"Canal dedicado a produzir vídeos de debates, curiosidades e entretenimento sobre o mundo dos animes e mangás. Para me enviar algo: Felipe Andrade ...",Vlog,9,249395,249395,28881384,1
84,UCITPFZDd6zjwmXAM2blTGXw,Karine Vlog,2013-10-08,"Bienvenue sur ma seconde chaîne, qui est consacrée aux vlogs! Je me nomme Karine Pothier et j'ai 25 ans. - Je suis une Youtubeuse québécoise et une ...",Vlog,0,28023,28023,7515913,1
85,UCzsPxrgq-aupKyqJsQ2uc4A,Slimmofication Vlogs,2012-12-23,Hey I'm Slim! Welcome to my daily vlogging channel! Email:Slimmofication@gmail.com Main Channel : http://www.youtube.com/user/SlimMofication.,Vlog,0,463031,463031,82230992,1
86,UCETlpmUQtuYu7-l1l2VUcGw,BARÁTOK Blog Vlog,2017-07-03,SZÓRAKOZTATUNK NEVETETTÜNK NE SÉRTŐDJ MEG A VIDEÓKBAN EL HANGZOTTAK MIATT HA TETSZIK AMIT CSINÁLUNK TARTS VELÜNK ÉS ...,Vlog,0,110,110,81633,1
87,UCL1vh3zWuqy_HMVfoKb1Qcw,Linkin Simpson's vlogs,2010-07-06,"Всем привет, я Толян и снимаю видео-обзоры (чаще всего не натуральной и вредной) еды и напитков, так же веду...",Vlog,60,83025,83025,26759655,7
88,UCQhEDac92Rq99--VFsJkjrA,Tara Babcock Vlogs! (2nd Channel),2013-08-03,"Welcome to my second channel! I made this channel for non-gaming content, and I pretty much do whatever I feel like here, from philosophical content to sexy ...",Vlog,7,334809,334809,71119749,3
89,UC9SbfTIqc4XfWNmfSEV8O4A,Leausa Vlogs,2013-09-07,G'day FAMILIA! So... Once upon a time.... We are the LEAUSA FAMILY :) Our Parents were Born and Raised in Samoa Met in Pago Pago (American Samoa) ...,Vlog,0,4170,4170,1264257,2
90,UCo8wl3bJjAZGcP-XbaKJlbA,Gardner Quad Squad,2014-09-13,After struggling with infertility for 8 years we did IVF. We put in 2 eggs and both stuck and both split against all odds resulting in a 1 in 70 million chance of our ...,Vlog,0,363130,363130,93956333,2
91,UCkxgqm7W2kJ--jb3cB0CT8Q,FleurDeVlog,2011-01-09,The daily adventures of Fleur & Mike! For Business Enquiries: lucys@jamesgrant.co.uk For Press Releases & Messages from Viewers: fleurdeforce@gmail.com.,Vlog,941,564481,564481,103423822,8
92,UC9gFih9rw0zNCK3ZtoKQQyA,JennaMarbles,2010-02-16,For Business Inquiries: http://jennamarblesblog.com/contact-me/ http://www.facebook.com/pages/Jenna-Mourey/311917224927 ...,Vlog,55238,18075506,18075506,2683201002,7
93,UCudeRz9YntRrmKBSqnHyKGQ,ConnorFranta,2010-04-24,Hello there. My name is Connor. I create content ranging from lifestyle vlogs to comedy skits to inspiration films and upload it to this channel every Monday.,Vlog,1898,5593191,5593191,417825091,9
94,UCPNDZBSSUJ0d94jQjb1u6rQ,EnjoyVlogging,2012-08-18,"Marie, 23 ans, passionnée de voyages et de nouvelles aventures. ○ C O D E S  - P R O M O S : ⦁ CHAUFFEUR PRIVÉ : "" ENJOY "" 10€ sur vos deux première ...",Vlog,208,1478264,1478264,227369755,3
95,UCfAEEhKikW1676DCa_0OWLA,Sprinkleofglitter,2010-01-18,"NEW VIDEOS EVERY MONDAY AND SOMETIMES A CHEEKY BONUS MIDWEEK. WOAH PONY, THAT'S EXCITING. Aloha! I love beauty, babies (particularly ...",Vlog,1644,2599195,2599195,211946937,3
96,UCGiSY-wqHv35wFvivMKlJTA,Trisha Paytas,2014-06-12,the daily life of trish!!! follow me around...cause that's not creepy hehe xo.,Vlog,0,1115807,1115807,199927781,2
97,UCn2MTOcWPppqn-hfh_qOF1Q,LaToya's Life,2010-01-27,"LaToya Forever presents LaToyasLife, a reality vlog-series. Welcome to the Official LaToyasLife Youtube channel! LaToyaForever™ is an online personality ...",Vlog,211,775979,775979,143781997,2
98,UCI4kXahIsuJYCmrEkjFjAtA,ilie's vlogs,2014-10-17,Nu mă interesează să fiu cel mai bogat om din cimitir. Pentru mine contează mai mult să mă duc la culcare seara și să pot spune că am facut ceva minunat.,Vlog,0,1330451,1330451,8132276,4
99,UCxjZe0qTFXh6jGm54LFWEDw,Aspyn and Parker,2011-01-22,"Hey guys! These vlogs are about our lives and the things we do. Subscribe and we hope you enjoy! Love, Aspyn and Parker.",Vlog,62,1716269,1716269,257330116,3
100,UCyQb1TTrfRzQZmEfsx770qw,Jon Olsson,2007-09-21,,Vlog,91,1134590,1134590,252132309,2
101,UC1KsxDW7hhfeq5QQmFtInIw,julien solomita,2012-12-08,"I make videos documenting my life. I intensely enjoy creating an experience through my videos that draws from my own, while also playing with that dynamic and ...",Vlog,0,1478993,1478993,282317480,4
102,UCdmGHoYdhb__gr8e-GKxaBQ,Caroline Vlog,2014-01-09,"Bienvenue dans mon univers! Chaîne de voyages, découvertes et bons plans tenue par Caroline. Ma boutique en ligne: https://www.ivylista.com/ Chaine mode ...",Vlog,0,607342,607342,89430503,5
103,UChl-lOZZY2vo_Zho6cfj0uQ,Everyday Estée,2013-05-13,Hello! You've stumbled across my lifestyle/vlog channel where I get up close and personal and let you into my world! If you haven't already seen my main ...,Vlog,23,361798,361798,51492284,10
104,UCDod3BmyJaGN6uZaNg--rig,JennaMarblesVlog,2011-02-09,My vlogs go here...,Vlog,4477,1734154,1734154,138287872,17
105,UC73Km9IHhumn8S6zJtG5RQA,Alex Wassabi,2010-11-26,"If you're not smiling, you're doing it wrong :)",Vlog,64,2725549,2725549,345222735,2
106,UCfa352_VIp2AI7R9Euh0QfA,JVevermind,2011-11-19,Boring Vlog Uploading. Please Wait...,Vlog,839,1758367,1758367,162613478,31
107,UC_jx6UXvRPu5g_BsSLwlMGw,Los Vlogs de Dross,2015-04-08,Canal secundario del youtuber DrossRotzank Moderado por AuR.,Vlog,0,1596492,1596492,68470841,7
108,UCOBx8y7hTi0q7AGaZEqPKKg,Ruti Beauty&Vlogs,2015-03-17,"[VLOGS DIARIOS] Se parte de nuestra vida diaria aquí en Japón, somos una familia Mexico-Japonesa, una Mexicana casada con un Japonés con 2 hermosos ...",Vlog,0,704999,704999,169608745,2
109,UCshbzNZhSwE4G2qQNtXSyRQ,Wassabi VLOGS,2006-11-05,Hi! We do challenges and other shenanigans on this page! mKay bYe!,Vlog,1018,1322092,1322092,206917696,8
110,UC3DkFux8Iv-aYnTRWzwaiBA,Peter McKinnon,2010-02-16,"I teach things about photography and cinematography. Oh, I also VLOG. :) And drink coffee. Lots of coffee.",Vlog,0,1989833,1989833,102701742,3
111,UC0Z9Id3pirzJg7JVUmiyPPw,HotSpanish Vlogs,2016-06-01,Canal secundario de HotSpanish Sigueme en mis redes sociales: Snapchat - HotSpanishtv Instagram - Hotspanishtv Twitter - Hotspanishtv.,Vlog,0,2770524,2770524,512609340,1
112,UC2oGM-rxEOob46X6MvkquvA,SamanthaMariaVlogs,2010-01-28,This is my daily-life and ramblings channel! My main channel is 'Samantha Maria' but if you like things a bit more casual - this is the place for you!,Vlog,762,506424,506424,44051521,8
113,UCUBuQif8Zupe4T0_KbS_pZw,Claudia Sulewski,2010-01-19,Claudia Sulewski Vlogs.,Vlog,1103,676587,676587,49567612,10
114,UCiZJtnTQunvoY0xgv-Ce_rg,NTN Vlogs,2016-05-04,NTN Vlogs Liên Hệ tài trợ/ Quảng cáo: Mobile: 0985215521 Facebook N.T.N: https://www.fb.com/NTNNguyenThanhNam Mail: Monstertattoovn@gmail.com.,Vlog,0,3713883,3713883,592306272,5
115,UCiAq_SU0ED1C6vWFMnw8Ekg,The Food Ranger,2013-03-13,"My name is Trevor James and I live to eat and travel. I live for street food and local food, and I'm traveling to taste it. I'm a hungry traveler that's currently living ...",Food,0,1598315,1598315,208913848,5
116,UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty,2016-01-22,"Food that'll make you close your eyes, lean back, and whisper ""yessss."" Snack-sized videos and recipes you'll want to try.",Food,0,7103856,7103856,1292890461,1
117,UCY1Yc3xA1aY0lqnKUTDTi7A,HellthyJunkFood,2013-01-26,I would try not to take anything we do on this channel seriously... Oh and we're not healthy.,Food,10,1639902,1639902,277027827,4
118,UC8Y-jrV8oR3s2Ix4viDkZtA,Food Network,2006-11-16,Welcome to the official YouTube channel of the Food Network. Food Network and foodnetwork.com explore the world of food in a fresh variety of ways while also ...,Food,8130,449759,449759,78239496,1
